penetration_rate,spend_per_consumer,adult_share,addressable_channel_share,achievable_share,tam_usd,sam_usd,som_usd
0.09671980974692687,270.71450584002423,0.6967551154137291,0.5223932038516279,0.021597862671285058,14954722856.956158,7812245585.958497,168727807.31988448
0.13510753139485004,263.945477106486,0.6470546910220919,0.4937642528900654,0.016532074618597535,18914985625.761612,9339543745.93051,154402034.11137912
0.11527209678300923,232.88547874996888,0.6644955528113268,0.6100304318121567,0.017540666498227938,14622779237.352427,8920340332.45594,156468714.8223014
0.10750250806090628,308.47473785636674,0.6905394810568146,0.449267468459162,0.01901676259426934,18771455863.121353,8433404454.917424,160376050.3806181
0.08369951699070619,286.622621473902,0.676059661676172,0.5138146069504969,0.019573087300564368,13295041015.055466,6831186273.541459,133707405.29844396
0.08369768497575933,367.2398079299243,0.6976072133368189,0.5338511759618721,0.02044115961685985,17577026285.12408,9383516152.226227,191809951.43503886
0.07446032516250994,185.38747855951695,0.7298179030534493,0.5614020430288721,0.02072180082978473,8258308091.851508,4636231034.727303,96071056.10248592
0.125460086715459,315.2308058394332,0.6373973294846352,0.48532810635363344,0.02432034760295263,20664063002.765003,10028850566.704115,243905131.84031257
0.10763276682204087,340.04725016667214,0.6947773689704995,0.5313049531133951,0.025144291867154854,20844941350.17526,11075020586.706337,278473550.06689274
0.11375536729503533,339.24718978104283,0.6525749927968172,0.46680781742799893,0.021789641371002776,20643808665.97471,9636691266.764864,209980046.70588082
0.06860837844572884,373.77515052079,0.6705246108028313,0.4899872285470425,0.03354116024074971,14095274722.658852,6906504596.964794,231652177.39027068
0.1383636060022434,332.44457002887617,0.6198583158787868,0.5814669488797775,0.0258194808100172,23372479628.196384,13590324417.162107,350895120.49082524
0.12254079177401318,389.32309454193063,0.6403842616313878,0.602522030581468,0.030220665544886657,25043944976.9952,15089528581.309706,456015596.4857687
0.08764816085098237,263.90174446870765,0.6619461658909315,0.5375134701918799,0.03416108097242131,12551018848.55007,6746341695.72784,230462324.93538082
0.08558456335264611,290.8261335970276,0.6640611400418055,0.4797915062125728,0.018568010361753325,13549029166.180464,6500709111.359804,120705234.1384731
0.08569545164951109,173.43302942499616,0.7175291634362773,0.5600144486534637,0.023876005104929716,8741790246.643425,4895528845.218245,116885671.69976148
0.0930948949938557,166.47258039374395,0.6979330771727232,0.384117717943085,0.02396225915715555,8866528231.784061,3405790590.4708304,81610436.76386386
0.10375504289487415,246.77261078223154,0.7329096859585299,0.4179968085594754,0.022629826313028196,15382533639.934553,6429849969.051414,145506388.0184632
0.09943351451635546,212.70152062290296,0.6851174203543049,0.5265569691594185,0.01200190907591678,11877899251.18632,6254390629.6855955,75064627.6627524
0.092379390122622,250.7384899107307,0.6538568917140213,0.464482251406725,0.03089985980878002,12415094924.718191,5766591242.061311,178186860.95423314
0.1082069147615387,233.09445520976413,0.6627045481529029,0.6032279979904804,0.017085315426941576,13701816611.519745,8265319403.399764,141215589.11150554
0.08240932614665936,183.3508765807929,0.6619518448434234,0.49008114628369415,0.03857391061457969,8198926489.597483,4018139292.317679,154995345.89879262
0.09243024413609595,381.98905578297354,0.6625933856885775,0.4890014996951938,0.029892147674210497,19177118807.071587,9377639856.490911,280317795.42578846
0.09631669913218009,167.90815803388972,0.6914007151722316,0.529640446821168,0.026252436867682024,9165886063.757053,4854623990.320202,127445709.82221569
0.10052591515729332,333.98357599542794,0.6798103698593422,0.5477287200812395,0.018341036385469064,18709499642.75783,10247730292.688154,187953994.16666698
